CMS,Component,Sub-component,Padding start,Variable,320px,375px,>375px & <1440px,1440px,>1440px & < 2560px,2560px,2560px+,Primary browser,Secondary browser,Secondary size,Mobile,Tablet,BugHerd ID,Comments,,,
ct text + profiles,ct profile half right,card (variant 1) - text box,left,Padding E,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 1) - text box,right,Padding E,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 1) - name,bottom,Padding G,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 1) - read more icon,top,Padding G,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 1) - read more icon,bottom,?,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 1) - read more icon,left,?,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 1) - read more icon,right,?,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 2) - text box,bottom,Padding E,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 2) - text box,left,Padding E,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 2) - text box,right,Padding E,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 2) - name,bottom,Padding G,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 3) - name,bottom,Padding E,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 3) - name,left,Padding E,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 3) - name,right,Padding E,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 3) - description box,top,Padding E,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 3) - description box,bottom,Padding E,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 3) - description box,left,Padding E,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 3) - description box,right,?,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 3) - read more icon,left,?,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 3) - read more icon,right,?,,,,,,,,,,,,,,,,,
ct profiles + text,ct text half right,,top,Padding B,,,,,,,,,,,,,,,,,
ct profiles + text,ct text half right,,bottom,Padding B,,,,,,,,,,,,,,,,,
ct profiles + text,ct text half right,,left,?,,,,,,,,,,,,,,,,,
ct profiles + text,ct text half right,,right,?,,,,,,,,,,,,,,,,,
ct profiles + text,ct carousel buttons,,left,?,,,,,,,,,,,,,,,,,
ct profiles + text,ct carousel buttons,,right,?,,,,,,,,,,,,,,,,,
ct profiles + text,ct profile half left,card (variant 1) - container,top,Padding B,,,,,,,,,,,,,,,,,
ct profiles + text,ct profile half left,card (variant 1) - container,bottom,Padding B,,,,,,,,,,,,,,,,,
ct profiles + text,ct profile half left,card (variant 2) - container,top,Padding B,,,,,,,,,,,,,,,,,
ct profiles + text,ct profile half left,card (variant 2) - container,bottom,Padding B,,,,,,,,,,,,,,,,,
ct profiles + text,ct profile half left,card (variant 3) - container,top,Padding B,,,,,,,,,,,,,,,,,
ct profiles + text,ct profile half left,card (variant 3) - container,bottom,Padding B,,,,,,,,,,,,,,,,,
ct profiles + text,ct profile half left,card (variant 1) - text box,top,Padding E,,,,,,,,,,,,,,,,,
ct profiles + text,ct profile half left,card (variant 1) - text box,bottom,Padding E,,,,,,,,,,,,,,,,,
ct profiles + text,ct profile half left,card (variant 1) - text box,left,Padding E,,,,,,,,,,,,,,,,,
ct profiles + text,ct profile half left,card (variant 1) - text box,right,Padding E,,,,,,,,,,,,,,,,,
ct profiles + text,ct profile half left,card (variant 1) - name,bottom,Padding G,,,,,,,,,,,,,,,,,
ct profiles + text,ct profile half left,card (variant 1) - read more icon,top,Padding G,,,,,,,,,,,,,,,,,
ct profiles + text,ct profile half left,card (variant 1) - read more icon,bottom,?,,,,,,,,,,,,,,,,,
ct profiles + text,ct profile half left,card (variant 1) - read more icon,left,?,,,,,,,,,,,,,,,,,
ct profiles + text,ct profile half left,card (variant 1) - read more icon,right,?,,,,,,,,,,,,,,,,,
ct profiles + text,ct profile half left,card (variant 2) - text box,bottom,Padding E,,,,,,,,,,,,,,,,,
ct profiles + text,ct profile half left,card (variant 2) - text box,left,Padding E,,,,,,,,,,,,,,,,,
ct profiles + text,ct profile half left,card (variant 2) - text box,right,Padding E,,,,,,,,,,,,,,,,,
ct profiles + text,ct profile half left,card (variant 2) - name,bottom,Padding G,,,,,,,,,,,,,,,,,
ct profiles + text,ct profile half left,card (variant 3) - name,bottom,Padding E,,,,,,,,,,,,,,,,,
ct profiles + text,ct profile half left,card (variant 3) - name,left,Padding E,,,,,,,,,,,,,,,,,
ct profiles + text,ct profile half left,card (variant 3) - name,right,Padding E,,,,,,,,,,,,,,,,,
ct profiles + text,ct profile half left,card (variant 3) - description box,top,Padding E,,,,,,,,,,,,,,,,,
ct profiles + text,ct profile half left,card (variant 3) - description box,bottom,Padding E,,,,,,,,,,,,,,,,,
ct profiles + text,ct profile half left,card (variant 3) - description box,left,Padding E,,,,,,,,,,,,,,,,,
ct profiles + text,ct profile half left,card (variant 3) - description box,right,?,,,,,,,,,,,,,,,,,
ct profiles + text,ct profile half left,card (variant 3) - read more icon,left,?,,,,,,,,,,,,,,,,,
ct profiles + text,ct profile half left,card (variant 3) - read more icon,right,?,,,,,,,,,,,,,,,,,
profiles grid,profile card,card (variant 1) - text box,top,Padding E,,,,,,,,,,,,,,,,,
profiles grid,profile card,card (variant 1) - text box,bottom,Padding E,,,,,,,,,,,,,,,,,
profiles grid,profile card,card (variant 1) - text box,left,Padding E,,,,,,,,,,,,,,,,,
profiles grid,profile card,card (variant 1) - text box,right,Padding E,,,,,,,,,,,,,,,,,
profiles grid,profile card,card (variant 1) - name,bottom,Padding G,,,,,,,,,,,,,,,,,
profiles grid,profile card,card (variant 1) - read more icon,top,Padding G,,,,,,,,,,,,,,,,,
profiles grid,profile card,card (variant 1) - read more icon,bottom,?,,,,,,,,,,,,,,,,,
profiles grid,profile card,card (variant 1) - read more icon,left,?,,,,,,,,,,,,,,,,,
profiles grid,profile card,card (variant 1) - read more icon,right,?,,,,,,,,,,,,,,,,,
profiles grid,profile card (single card),card (variant 1) - text box,top,Padding B,,,,,,,,,,,,,,,,,
profiles grid,profile card (single card),card (variant 1) - text box,bottom,Padding B,,,,,,,,,,,,,,,,,
profiles grid,profile card (single card),card (variant 1) - text box,left,Padding C,,,,,,,,,,,,,,,,,
profiles grid,profile card (single card),card (variant 1) - text box,right,Padding C,,,,,,,,,,,,,,,,,
profiles grid,profile card (single card),card (variant 1) - name,bottom,Padding G,,,,,,,,,,,,,,,,,
profiles grid,profile card (single card),card (variant 1) - read more icon,bottom,?,,,,,,,,,,,,,,,,,
profiles grid,profile card (single card),card (variant 1) - read more icon,right,?,,,,,,,,,,,,,,,,,
profiles grid,profile card,card (variant 2) - text box,bottom,Padding E,,,,,,,,,,,,,,,,,
profiles grid,profile card,card (variant 2) - text box,left,Padding E,,,,,,,,,,,,,,,,,
profiles grid,profile card,card (variant 2) - text box,right,Padding E,,,,,,,,,,,,,,,,,
profiles grid,profile card,card (variant 2) - name,bottom,Padding G,,,,,,,,,,,,,,,,,
profiles grid,profile card (single card),card (variant 2) - text box,top,?,,,,,,,,,,,,,,,,,
profiles grid,profile card (single card),card (variant 2) - text box,bottom,?,,,,,,,,,,,,,,,,,
profiles grid,profile card (single card),card (variant 2) - text box,left,?,,,,,,,,,,,,,,,,,
profiles grid,profile card (single card),card (variant 2) - text box,right,?,,,,,,,,,,,,,,,,,
profiles grid,profile card (single card),card (variant 2) - name,bottom,?,,,,,,,,,,,,,,,,,
profiles grid,profile card (single card),card (variant 2) - read more icon,bottom,?,,,,,,,,,,,,,,,,,
profiles grid,profile card (single card),card (variant 2) - read more icon,right,?,,,,,,,,,,,,,,,,,
profiles grid,profile card,card (variant 3) - name,bottom,Padding E,,,,,,,,,,,,,,,,,
profiles grid,profile card,card (variant 3) - name,left,Padding E,,,,,,,,,,,,,,,,,
profiles grid,profile card,card (variant 3) - name,right,Padding E,,,,,,,,,,,,,,,,,
profiles grid,profile card,card (variant 3) - description box,top,Padding E,,,,,,,,,,,,,,,,,
profiles grid,profile card,card (variant 3) - description box,bottom,Padding E,,,,,,,,,,,,,,,,,
profiles grid,profile card,card (variant 3) - description box,left,Padding E,,,,,,,,,,,,,,,,,
profiles grid,profile card,card (variant 3) - description box,right,?,,,,,,,,,,,,,,,,,
profiles grid,profile card,card (variant 3) - read more icon,left,?,,,,,,,,,,,,,,,,,
profiles grid,profile card,card (variant 3) - read more icon,right,?,,,,,,,,,,,,,,,,,
profiles grid,profile card (single card),card (variant 3) - text box,top,?,,,,,,,,,,,,,,,,,
profiles grid,profile card (single card),card (variant 3) - text box,bottom,?,,,,,,,,,,,,,,,,,
profiles grid,profile card (single card),card (variant 3) - text box,left,?,,,,,,,,,,,,,,,,,
profiles grid,profile card (single card),card (variant 3) - text box,right,?,,,,,,,,,,,,,,,,,
profiles grid,profile card (single card),card (variant 3) - name,bottom,?,,,,,,,,,,,,,,,,,
profiles grid,profile card (single card),card (variant 3) - read more icon,bottom,?,,,,,,,,,,,,,,,,,
profiles grid,profile card (single card),card (variant 3) - read more icon,right,?,,,,,,,,,,,,,,,,,
profiles directory,filter bar,container,top,?,,,,,,,,,,,,,,,,,
profiles directory,filter bar,container,bottom,?,,,,,,,,,,,,,,,,,
profiles directory,filter bar,container,left,?,,,,,,,,,,,,,,,,,
profiles directory,filter bar,container,right,?,,,,,,,,,,,,,,,,,
profiles directory,filter bar,search,top,?,,,,,,,,,,,,,,,,,
profiles directory,filter bar,search,bottom,?,,,,,,,,,,,,,,,,,
profiles directory,filter bar,search,left,?,,,,,,,,,,,,,,,,,
profiles directory,filter bar,search,right,?,,,,,,,,,,,,,,,,,
profiles directory,filter bar,dropdown button - department,top,?,,,,,,,,,,,,,,,,,
profiles directory,filter bar,dropdown button - department,bottom,?,,,,,,,,,,,,,,,,,
profiles directory,filter bar,dropdown button - department,left,?,,,,,,,,,,,,,,,,,
profiles directory,filter bar,dropdown button - department,right,?,,,,,,,,,,,,,,,,,
profiles directory,filter bar,dropdown button - year,top,?,,,,,,,,,,,,,,,,,
profiles directory,filter bar,dropdown button - year,bottom,?,,,,,,,,,,,,,,,,,
profiles directory,filter bar,dropdown button - year,left,?,,,,,,,,,,,,,,,,,
profiles directory,filter bar,dropdown button - year,right,?,,,,,,,,,,,,,,,,,
profiles directory,filter bar,dropdown button - A-Z,top,?,,,,,,,,,,,,,,,,,
profiles directory,filter bar,dropdown button - A-Z,bottom,?,,,,,,,,,,,,,,,,,
profiles directory,filter bar,dropdown button - A-Z,left,?,,,,,,,,,,,,,,,,,
profiles directory,filter bar,dropdown button - A-Z,right,?,,,,,,,,,,,,,,,,,
profiles directory,profile card,card (variant 1) - text box,top,Padding E,,,,,,,,,,,,,,,,,
profiles directory,profile card,card (variant 1) - text box,bottom,Padding E,,,,,,,,,,,,,,,,,
profiles directory,profile card,card (variant 1) - text box,left,Padding E,,,,,,,,,,,,,,,,,
profiles directory,profile card,card (variant 1) - text box,right,Padding E,,,,,,,,,,,,,,,,,
profiles directory,profile card,card (variant 1) - name,bottom,Padding G,,,,,,,,,,,,,,,,,
profiles directory,profile card,card (variant 1) - read more icon,top,Padding G,,,,,,,,,,,,,,,,,
profiles directory,profile card,card (variant 1) - read more icon,bottom,?,,,,,,,,,,,,,,,,,
profiles directory,profile card,card (variant 1) - read more icon,left,?,,,,,,,,,,,,,,,,,
profiles directory,profile card,card (variant 1) - read more icon,right,?,,,,,,,,,,,,,,,,,
profiles directory,profile card,card (variant 2) - text box,bottom,Padding E,,,,,,,,,,,,,,,,,
profiles directory,profile card,card (variant 2) - text box,left,Padding E,,,,,,,,,,,,,,,,,
profiles directory,profile card,card (variant 2) - text box,right,Padding E,,,,,,,,,,,,,,,,,
profiles directory,profile card,card (variant 2) - name,bottom,Padding G,,,,,,,,,,,,,,,,,
profiles directory,profile card,card (variant 3) - name,bottom,Padding E,,,,,,,,,,,,,,,,,
profiles directory,profile card,card (variant 3) - name,left,Padding E,,,,,,,,,,,,,,,,,
profiles directory,profile card,card (variant 3) - name,right,Padding E,,,,,,,,,,,,,,,,,
profiles directory,profile card,card (variant 3) - description box,top,Padding E,,,,,,,,,,,,,,,,,
profiles directory,profile card,card (variant 3) - description box,bottom,Padding E,,,,,,,,,,,,,,,,,
profiles directory,profile card,card (variant 3) - description box,left,Padding E,,,,,,,,,,,,,,,,,
profiles directory,profile card,card (variant 3) - description box,right,?,,,,,,,,,,,,,,,,,
profiles directory,profile card,card (variant 3) - read more icon,left,?,,,,,,,,,,,,,,,,,
profiles directory,profile card,card (variant 3) - read more icon,right,?,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 1),card (variant 1) - text box,top,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 1),card (variant 1) - text box,bottom,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 1),card (variant 1) - text box,left,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 1),card (variant 1) - text box,right,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 1),card (variant 1) - title,bottom,Padding G,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 1),card (variant 2) - text box,bottom,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 1),card (variant 2) - text box,left,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 1),card (variant 2) - text box,right,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 1),card (variant 2) - title,bottom,Padding G,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 1),card (variant 3) - title,bottom,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 1),card (variant 3) - title,left,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 1),card (variant 3) - title,right,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 1),card (variant 3) - description box,top,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 1),card (variant 3) - description box,bottom,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 1),card (variant 3) - description box,left,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 1),card (variant 3) - description box,right,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 2),card (variant 1) - text box,top,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 2),card (variant 1) - text box,bottom,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 2),card (variant 1) - text box,left,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 2),card (variant 1) - text box,right,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 2),card (variant 1) - title,bottom,Padding G,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 2),card (variant 2) - text box,bottom,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 2),card (variant 2) - text box,left,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 2),card (variant 2) - text box,right,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 2),card (variant 2) - title,bottom,Padding G,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 2),card (variant 3) - title,bottom,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 2),card (variant 3) - title,left,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 2),card (variant 3) - title,right,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 2),card (variant 3) - description box,top,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 2),card (variant 3) - description box,bottom,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 2),card (variant 3) - description box,left,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 2),card (variant 3) - description box,right,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 3),card (variant 1) - text box,top,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 3),card (variant 1) - text box,bottom,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 3),card (variant 1) - text box,left,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 3),card (variant 1) - text box,right,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 3),card (variant 1) - title,bottom,Padding G,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 3),card (variant 2) - text box,bottom,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 3),card (variant 2) - text box,left,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 3),card (variant 2) - text box,right,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 3),card (variant 2) - title,bottom,Padding G,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 3),card (variant 3) - title,bottom,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 3),card (variant 3) - title,left,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 3),card (variant 3) - title,right,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 3),card (variant 3) - description box,top,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 3),card (variant 3) - description box,bottom,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 3),card (variant 3) - description box,left,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 3),card (variant 3) - description box,right,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 4),card (variant 1) - text box,top,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 4),card (variant 1) - text box,bottom,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 4),card (variant 1) - text box,left,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 4),card (variant 1) - text box,right,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 4),card (variant 1) - title,bottom,Padding G,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 4),card (variant 2) - text box,bottom,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 4),card (variant 2) - text box,left,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 4),card (variant 2) - text box,right,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 4),card (variant 2) - title,bottom,Padding G,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 4),card (variant 3) - title,bottom,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 4),card (variant 3) - title,left,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 4),card (variant 3) - title,right,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 4),card (variant 3) - description box,top,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 4),card (variant 3) - description box,bottom,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 4),card (variant 3) - description box,left,Padding E,,,,,,,,,,,,,,,,,
cards carousel,cards carousel (variant 4),card (variant 3) - description box,right,Padding E,,,,,,,,,,,,,,,,,
ct text + cards,ct text half left,,top,Padding B,,,,,,,,,,,,,,,,,
ct text + cards,ct text half left,,bottom,Padding B,,,,,,,,,,,,,,,,,
ct text + cards,ct text half left,,left,?,,,,,,,,,,,,,,,,,
ct text + cards,ct text half left,,right,?,,,,,,,,,,,,,,,,,
ct text + cards,ct carousel buttons,,left,?,,,,,,,,,,,,,,,,,
ct text + cards,ct carousel buttons,,right,?,,,,,,,,,,,,,,,,,
ct text + cards,ct cards half right,card (variant 1) - container,top,Padding B,,,,,,,,,,,,,,,,,
ct text + cards,ct cards half right,card (variant 1) - container,bottom,Padding B,,,,,,,,,,,,,,,,,
ct text + cards,ct cards half right,card (variant 2) - container,top,Padding B,,,,,,,,,,,,,,,,,
ct text + cards,ct cards half right,card (variant 2) - container,bottom,Padding B,,,,,,,,,,,,,,,,,
ct text + cards,ct cards half right,card (variant 3) - container,top,Padding B,,,,,,,,,,,,,,,,,
ct text + cards,ct cards half right,card (variant 3) - container,bottom,Padding B,,,,,,,,,,,,,,,,,
ct text + cards,ct cards half right,card (variant 1) - text box,top,Padding E,,,,,,,,,,,,,,,,,
ct text + cards,ct cards half right,card (variant 1) - text box,bottom,Padding E,,,,,,,,,,,,,,,,,
ct text + cards,ct cards half right,card (variant 1) - text box,left,Padding E,,,,,,,,,,,,,,,,,
ct text + cards,ct cards half right,card (variant 1) - text box,right,Padding E,,,,,,,,,,,,,,,,,
ct text + cards,ct cards half right,card (variant 1) - title,bottom,Padding G,,,,,,,,,,,,,,,,,
ct text + cards,ct cards half right,card (variant 2) - text box,bottom,Padding E,,,,,,,,,,,,,,,,,
ct text + cards,ct cards half right,card (variant 2) - text box,left,Padding E,,,,,,,,,,,,,,,,,
ct text + cards,ct cards half right,card (variant 2) - text box,right,Padding E,,,,,,,,,,,,,,,,,
ct text + cards,ct cards half right,card (variant 2) - title,bottom,Padding G,,,,,,,,,,,,,,,,,
ct text + cards,ct cards half right,card (variant 3) - title,bottom,Padding E,,,,,,,,,,,,,,,,,
ct text + cards,ct cards half right,card (variant 3) - title,left,Padding E,,,,,,,,,,,,,,,,,
ct text + cards,ct cards half right,card (variant 3) - title,right,Padding E,,,,,,,,,,,,,,,,,
ct text + cards,ct cards half right,card (variant 3) - description box,top,Padding E,,,,,,,,,,,,,,,,,
ct text + cards,ct cards half right,card (variant 3) - description box,bottom,Padding E,,,,,,,,,,,,,,,,,
ct text + cards,ct cards half right,card (variant 3) - description box,left,Padding E,,,,,,,,,,,,,,,,,
ct text + cards,ct cards half right,card (variant 3) - description box,right,Padding E,,,,,,,,,,,,,,,,,
ct cards + text,ct text half right,,top,Padding B,,,,,,,,,,,,,,,,,
ct cards + text,ct text half right,,bottom,Padding B,,,,,,,,,,,,,,,,,
ct cards + text,ct text half right,,left,?,,,,,,,,,,,,,,,,,
ct cards + text,ct text half right,,right,?,,,,,,,,,,,,,,,,,
ct cards + text,ct carousel buttons,,left,?,,,,,,,,,,,,,,,,,
ct cards + text,ct carousel buttons,,right,?,,,,,,,,,,,,,,,,,
ct cards + text,ct cards half left,card (variant 1) - container,top,Padding B,,,,,,,,,,,,,,,,,
ct cards + text,ct cards half left,card (variant 1) - container,bottom,Padding B,,,,,,,,,,,,,,,,,
ct cards + text,ct cards half left,card (variant 2) - container,top,Padding B,,,,,,,,,,,,,,,,,
ct cards + text,ct cards half left,card (variant 2) - container,bottom,Padding B,,,,,,,,,,,,,,,,,
ct cards + text,ct cards half left,card (variant 3) - container,top,Padding B,,,,,,,,,,,,,,,,,
ct cards + text,ct cards half left,card (variant 3) - container,bottom,Padding B,,,,,,,,,,,,,,,,,
ct cards + text,ct cards half left,card (variant 1) - text box,top,Padding E,,,,,,,,,,,,,,,,,
ct cards + text,ct cards half left,card (variant 1) - text box,bottom,Padding E,,,,,,,,,,,,,,,,,
ct cards + text,ct cards half left,card (variant 1) - text box,left,Padding E,,,,,,,,,,,,,,,,,
ct cards + text,ct cards half left,card (variant 1) - text box,right,Padding E,,,,,,,,,,,,,,,,,
ct cards + text,ct cards half left,card (variant 1) - title,bottom,Padding G,,,,,,,,,,,,,,,,,
ct cards + text,ct cards half left,card (variant 2) - text box,bottom,Padding E,,,,,,,,,,,,,,,,,
ct cards + text,ct cards half left,card (variant 2) - text box,left,Padding E,,,,,,,,,,,,,,,,,
ct cards + text,ct cards half left,card (variant 2) - text box,right,Padding E,,,,,,,,,,,,,,,,,
ct cards + text,ct cards half left,card (variant 2) - title,bottom,Padding G,,,,,,,,,,,,,,,,,
ct cards + text,ct cards half left,card (variant 3) - title,bottom,Padding E,,,,,,,,,,,,,,,,,
ct cards + text,ct cards half left,card (variant 3) - title,left,Padding E,,,,,,,,,,,,,,,,,
ct cards + text,ct cards half left,card (variant 3) - title,right,Padding E,,,,,,,,,,,,,,,,,
ct cards + text,ct cards half left,card (variant 3) - description box,top,Padding E,,,,,,,,,,,,,,,,,
ct cards + text,ct cards half left,card (variant 3) - description box,bottom,Padding E,,,,,,,,,,,,,,,,,
ct cards + text,ct cards half left,card (variant 3) - description box,left,Padding E,,,,,,,,,,,,,,,,,
