CMS,Component,Sub-component,Padding start,Variable,320px,375px,>375px & <1440px,1440px,>1440px & < 2560px,2560px,2560px+,Primary browser,Secondary browser,Secondary size,Mobile,Tablet,BugHerd ID,Comments,,,
events list,events list (variant 1),card (desktop) - time,top,?,,,,,,,,,,,,,,,,,
events list,events list (variant 1),card (featured desktop) - image,top,Padding E,,,,,,,,,,,,,,,,,
events list,events list (variant 1),card (featured desktop) - image,left,Padding E,,,,,,,,,,,,,,,,,
events list,events list (variant 1),card (featured desktop) - image,right,Padding E,,,,,,,,,,,,,,,,,
events list,events list (variant 2),container,top,Padding B,,,,,,,,,,,,,,,,,
events list,events list (variant 2),container,bottom,Padding B,,,,,,,,,,,,,,,,,
events list,events list (variant 2),container,left,?,,,,,,,,,,,,,,,,,
events list,events list (variant 2),container,right,?,,,,,,,,,,,,,,,,,
events list,events list (variant 2),title,bottom,Padding D,,,,,,,,,,,,,,,,,
events list,events list (variant 2),card - text box,top,Padding E,,,,,,,,,,,,,,,,,
events list,events list (variant 2),card - text box,bottom,Padding E,,,,,,,,,,,,,,,,,
events list,events list (variant 2),card - text box,right,Padding E,,,,,,,,,,,,,,,,,
events list,events list (variant 2),card - date box,top,?,,,,,,,,,,,,,,,,,
events list,events list (variant 2),card - date box,bottom,?,,,,,,,,,,,,,,,,,
events list,events list (variant 2),card - date box,left,?,,,,,,,,,,,,,,,,,
events list,events list (variant 2),card - date box,right,?,,,,,,,,,,,,,,,,,
events list,events list (variant 2),card - date box,outer right,?,,,,,,,,,,,,,,,,,
events list,events list (variant 2),card - date box number,bottom,?,,,,,,,,,,,,,,,,,
events list,events list (variant 2),card (desktop) - time,top,?,,,,,,,,,,,,,,,,,
events list,events list (variant 2),card (featured desktop) - image,bottom,Padding E,,,,,,,,,,,,,,,,,
events featured,events featured (variant 1),container,top,?,,,,,,,,,,,,,,,,,
events featured,events featured (variant 1),container,bottom,?,,,,,,,,,,,,,,,,,
events featured,events featured (variant 1),container,left,?,,,,,,,,,,,,,,,,,
events featured,events featured (variant 1),container,right,?,,,,,,,,,,,,,,,,,
events featured,events featured (variant 1),button - next,right,?,,,,,,,,,,,,,,,,,
events featured,events featured (variant 1),button - previous,left,?,,,,,,,,,,,,,,,,,
events featured,events featured (variant 1),date box,top,?,,,,,,,,,,,,,,,,,
events featured,events featured (variant 1),date box,bottom,?,,,,,,,,,,,,,,,,,
events featured,events featured (variant 1),date box,left,?,,,,,,,,,,,,,,,,,
events featured,events featured (variant 1),date box,right,?,,,,,,,,,,,,,,,,,
events featured,events featured (variant 1),date box,outer bottom,?,,,,,,,,,,,,,,,,,
events featured,events featured (variant 1),date box number,bottom,?,,,,,,,,,,,,,,,,,
events featured,events featured (variant 1),title,bottom,?,,,,,,,,,,,,,,,,,
events featured,events featured (variant 1),description,bottom,?,,,,,,,,,,,,,,,,,
events featured,events featured (variant 1),countdown,bottom,?,,,,,,,,,,,,,,,,,
events featured,events featured (variant 1),countdown - number,bottom,?,,,,,,,,,,,,,,,,,
events featured,events featured (variant 1),countdown - text,left,?,,,,,,,,,,,,,,,,,
events featured,events featured (variant 1),countdown - text,right,?,,,,,,,,,,,,,,,,,
events featured,events featured (variant 1),pagination dot,left,?,,,,,,,,,,,,,,,,,
events featured,events featured (variant 1),pagination dot,right,?,,,,,,,,,,,,,,,,,
events featured,events featured (variant 2),container,top,?,,,,,,,,,,,,,,,,,
events featured,events featured (variant 2),container,bottom,?,,,,,,,,,,,,,,,,,
events featured,events featured (variant 2),container,left,?,,,,,,,,,,,,,,,,,
events featured,events featured (variant 2),container,right,?,,,,,,,,,,,,,,,,,
events featured,events featured (variant 2),button - next,bottom,?,,,,,,,,,,,,,,,,,
events featured,events featured (variant 2),buttons,right,?,,,,,,,,,,,,,,,,,
events featured,events featured (variant 2),date box,top,?,,,,,,,,,,,,,,,,,
events featured,events featured (variant 2),date box,bottom,?,,,,,,,,,,,,,,,,,
events featured,events featured (variant 2),date box,left,?,,,,,,,,,,,,,,,,,
events featured,events featured (variant 2),date box,right,?,,,,,,,,,,,,,,,,,
events featured,events featured (variant 2),date box,outer bottom,?,,,,,,,,,,,,,,,,,
events featured,events featured (variant 2),date box number,bottom,?,,,,,,,,,,,,,,,,,
events featured,events featured (variant 2),title,bottom,?,,,,,,,,,,,,,,,,,
events featured,events featured (variant 2),description,bottom,?,,,,,,,,,,,,,,,,,
events featured,events featured (variant 2),countdown,bottom,?,,,,,,,,,,,,,,,,,
events featured,events featured (variant 2),countdown - number,bottom,?,,,,,,,,,,,,,,,,,
events featured,events featured (variant 2),countdown - text,left,?,,,,,,,,,,,,,,,,,
events featured,events featured (variant 2),countdown - text,right,?,,,,,,,,,,,,,,,,,
events featured,events featured (variant 2),pagination dot,left,?,,,,,,,,,,,,,,,,,
events featured,events featured (variant 2),pagination dot,right,?,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 1),card (variant 1) - text box,top,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 1),card (variant 1) - text box,bottom,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 1),card (variant 1) - text box,left,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 1),card (variant 1) - text box,right,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 1),card (variant 1) - title,bottom,Padding G,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 1),card (variant 2) - text box,bottom,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 1),card (variant 2) - text box,left,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 1),card (variant 2) - text box,right,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 1),card (variant 2) - title,bottom,Padding G,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 1),card (variant 3) - title,bottom,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 1),card (variant 3) - title,left,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 1),card (variant 3) - title,right,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 1),card (variant 3) - description box,top,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 1),card (variant 3) - description box,bottom,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 1),card (variant 3) - description box,left,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 1),card (variant 3) - description box,right,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 2),card (variant 1) - text box,top,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 2),card (variant 1) - text box,bottom,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 2),card (variant 1) - text box,left,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 2),card (variant 1) - text box,right,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 2),card (variant 1) - title,bottom,Padding G,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 2),card (variant 2) - text box,bottom,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 2),card (variant 2) - text box,left,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 2),card (variant 2) - text box,right,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 2),card (variant 2) - title,bottom,Padding G,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 2),card (variant 3) - title,bottom,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 2),card (variant 3) - title,left,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 2),card (variant 3) - title,right,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 2),card (variant 3) - description box,top,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 2),card (variant 3) - description box,bottom,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 2),card (variant 3) - description box,left,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 2),card (variant 3) - description box,right,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 3),card (variant 1) - text box,top,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 3),card (variant 1) - text box,bottom,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 3),card (variant 1) - text box,left,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 3),card (variant 1) - text box,right,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 3),card (variant 1) - title,bottom,Padding G,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 3),card (variant 2) - text box,bottom,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 3),card (variant 2) - text box,left,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 3),card (variant 2) - text box,right,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 3),card (variant 2) - title,bottom,Padding G,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 3),card (variant 3) - title,bottom,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 3),card (variant 3) - title,left,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 3),card (variant 3) - title,right,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 3),card (variant 3) - description box,top,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 3),card (variant 3) - description box,bottom,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 3),card (variant 3) - description box,left,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 3),card (variant 3) - description box,right,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 4),card (variant 1) - text box,top,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 4),card (variant 1) - text box,bottom,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 4),card (variant 1) - text box,left,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 4),card (variant 1) - text box,right,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 4),card (variant 1) - title,bottom,Padding G,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 4),card (variant 2) - text box,bottom,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 4),card (variant 2) - text box,left,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 4),card (variant 2) - text box,right,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 4),card (variant 2) - title,bottom,Padding G,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 4),card (variant 3) - title,bottom,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 4),card (variant 3) - title,left,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 4),card (variant 3) - title,right,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 4),card (variant 3) - description box,top,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 4),card (variant 3) - description box,bottom,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 4),card (variant 3) - description box,left,Padding E,,,,,,,,,,,,,,,,,
stories carousel,stories carousel (variant 4),card (variant 3) - description box,right,Padding E,,,,,,,,,,,,,,,,,
ct text + stories,ct text half left,,top,Padding B,,,,,,,,,,,,,,,,,
ct text + stories,ct text half left,,bottom,Padding B,,,,,,,,,,,,,,,,,
ct text + stories,ct text half left,,left,?,,,,,,,,,,,,,,,,,
ct text + stories,ct text half left,,right,?,,,,,,,,,,,,,,,,,
ct text + stories,ct carousel buttons,,left,?,,,,,,,,,,,,,,,,,
ct text + stories,ct carousel buttons,,right,?,,,,,,,,,,,,,,,,,
ct text + stories,ct stories half right,card (variant 1) - container,top,Padding B,,,,,,,,,,,,,,,,,
ct text + stories,ct stories half right,card (variant 1) - container,bottom,Padding B,,,,,,,,,,,,,,,,,
ct text + stories,ct stories half right,card (variant 2) - container,top,Padding B,,,,,,,,,,,,,,,,,
ct text + stories,ct stories half right,card (variant 2) - container,bottom,Padding B,,,,,,,,,,,,,,,,,
ct text + stories,ct stories half right,card (variant 3) - container,top,Padding B,,,,,,,,,,,,,,,,,
ct text + stories,ct stories half right,card (variant 3) - container,bottom,Padding B,,,,,,,,,,,,,,,,,
ct text + stories,ct stories half right,card (variant 1) - text box,top,Padding E,,,,,,,,,,,,,,,,,
ct text + stories,ct stories half right,card (variant 1) - text box,bottom,Padding E,,,,,,,,,,,,,,,,,
ct text + stories,ct stories half right,card (variant 1) - text box,left,Padding E,,,,,,,,,,,,,,,,,
ct text + stories,ct stories half right,card (variant 1) - text box,right,Padding E,,,,,,,,,,,,,,,,,
ct text + stories,ct stories half right,card (variant 1) - title,bottom,Padding G,,,,,,,,,,,,,,,,,
ct text + stories,ct stories half right,card (variant 2) - text box,bottom,Padding E,,,,,,,,,,,,,,,,,
ct text + stories,ct stories half right,card (variant 2) - text box,left,Padding E,,,,,,,,,,,,,,,,,
ct text + stories,ct stories half right,card (variant 2) - text box,right,Padding E,,,,,,,,,,,,,,,,,
ct text + stories,ct stories half right,card (variant 2) - title,bottom,Padding G,,,,,,,,,,,,,,,,,
ct text + stories,ct stories half right,card (variant 3) - title,bottom,Padding E,,,,,,,,,,,,,,,,,
ct text + stories,ct stories half right,card (variant 3) - title,left,Padding E,,,,,,,,,,,,,,,,,
ct text + stories,ct stories half right,card (variant 3) - title,right,Padding E,,,,,,,,,,,,,,,,,
ct text + stories,ct stories half right,card (variant 3) - description box,top,Padding E,,,,,,,,,,,,,,,,,
ct text + stories,ct stories half right,card (variant 3) - description box,bottom,Padding E,,,,,,,,,,,,,,,,,
ct text + stories,ct stories half right,card (variant 3) - description box,left,Padding E,,,,,,,,,,,,,,,,,
ct text + stories,ct stories half right,card (variant 3) - description box,right,Padding E,,,,,,,,,,,,,,,,,
ct stories + text,ct text half right,,top,Padding B,,,,,,,,,,,,,,,,,
ct stories + text,ct text half right,,bottom,Padding B,,,,,,,,,,,,,,,,,
ct stories + text,ct text half right,,left,?,,,,,,,,,,,,,,,,,
ct stories + text,ct text half right,,right,?,,,,,,,,,,,,,,,,,
ct stories + text,ct carousel buttons,,left,?,,,,,,,,,,,,,,,,,
ct stories + text,ct carousel buttons,,right,?,,,,,,,,,,,,,,,,,
ct stories + text,ct stories half left,card (variant 1) - container,top,Padding B,,,,,,,,,,,,,,,,,
ct stories + text,ct stories half left,card (variant 1) - container,bottom,Padding B,,,,,,,,,,,,,,,,,
ct stories + text,ct stories half left,card (variant 2) - container,top,Padding B,,,,,,,,,,,,,,,,,
ct stories + text,ct stories half left,card (variant 2) - container,bottom,Padding B,,,,,,,,,,,,,,,,,
ct stories + text,ct stories half left,card (variant 3) - container,top,Padding B,,,,,,,,,,,,,,,,,
ct stories + text,ct stories half left,card (variant 3) - container,bottom,Padding B,,,,,,,,,,,,,,,,,
ct stories + text,ct stories half left,card (variant 1) - text box,top,Padding E,,,,,,,,,,,,,,,,,
ct stories + text,ct stories half left,card (variant 1) - text box,bottom,Padding E,,,,,,,,,,,,,,,,,
ct stories + text,ct stories half left,card (variant 1) - text box,left,Padding E,,,,,,,,,,,,,,,,,
ct stories + text,ct stories half left,card (variant 1) - text box,right,Padding E,,,,,,,,,,,,,,,,,
ct stories + text,ct stories half left,card (variant 1) - title,bottom,Padding G,,,,,,,,,,,,,,,,,
ct stories + text,ct stories half left,card (variant 2) - text box,bottom,Padding E,,,,,,,,,,,,,,,,,
ct stories + text,ct stories half left,card (variant 2) - text box,left,Padding E,,,,,,,,,,,,,,,,,
ct stories + text,ct stories half left,card (variant 2) - text box,right,Padding E,,,,,,,,,,,,,,,,,
ct stories + text,ct stories half left,card (variant 2) - title,bottom,Padding G,,,,,,,,,,,,,,,,,
ct stories + text,ct stories half left,card (variant 3) - title,bottom,Padding E,,,,,,,,,,,,,,,,,
ct stories + text,ct stories half left,card (variant 3) - title,left,Padding E,,,,,,,,,,,,,,,,,
ct stories + text,ct stories half left,card (variant 3) - title,right,Padding E,,,,,,,,,,,,,,,,,
ct stories + text,ct stories half left,card (variant 3) - description box,top,Padding E,,,,,,,,,,,,,,,,,
ct stories + text,ct stories half left,card (variant 3) - description box,bottom,Padding E,,,,,,,,,,,,,,,,,
ct stories + text,ct stories half left,card (variant 3) - description box,left,Padding E,,,,,,,,,,,,,,,,,
ct stories + text,ct stories half left,card (variant 3) - description box,right,Padding E,,,,,,,,,,,,,,,,,
stories grid,stories card,card (variant 1) - text box,top,Padding E,,,,,,,,,,,,,,,,,
stories grid,stories card,card (variant 1) - text box,bottom,Padding E,,,,,,,,,,,,,,,,,
stories grid,stories card,card (variant 1) - text box,left,Padding E,,,,,,,,,,,,,,,,,
stories grid,stories card,card (variant 1) - text box,right,Padding E,,,,,,,,,,,,,,,,,
stories grid,stories card,card (variant 1) - title,bottom,Padding G,,,,,,,,,,,,,,,,,
stories grid,stories card (single card),card (variant 1) - text box,top,Padding B,,,,,,,,,,,,,,,,,
stories grid,stories card (single card),card (variant 1) - text box,bottom,Padding B,,,,,,,,,,,,,,,,,
stories grid,stories card (single card),card (variant 1) - text box,left,Padding C,,,,,,,,,,,,,,,,,
stories grid,stories card (single card),card (variant 1) - text box,right,Padding C,,,,,,,,,,,,,,,,,
stories grid,stories card (single card),card (variant 1) - name,bottom,Padding G,,,,,,,,,,,,,,,,,
stories grid,stories card (single card),card (variant 1) - read more icon,bottom,?,,,,,,,,,,,,,,,,,
stories grid,stories card (single card),card (variant 1) - read more icon,right,?,,,,,,,,,,,,,,,,,
stories grid,stories card,card (variant 2) - text box,bottom,Padding E,,,,,,,,,,,,,,,,,
stories grid,stories card,card (variant 2) - text box,left,Padding E,,,,,,,,,,,,,,,,,
stories grid,stories card,card (variant 2) - text box,right,Padding E,,,,,,,,,,,,,,,,,
stories grid,stories card,card (variant 2) - title,bottom,Padding G,,,,,,,,,,,,,,,,,
stories grid,stories card (single card),card (variant 2) - text box,top,?,,,,,,,,,,,,,,,,,
stories grid,stories card (single card),card (variant 2) - text box,bottom,?,,,,,,,,,,,,,,,,,
stories grid,stories card (single card),card (variant 2) - text box,left,?,,,,,,,,,,,,,,,,,
stories grid,stories card (single card),card (variant 2) - text box,right,?,,,,,,,,,,,,,,,,,
stories grid,stories card (single card),card (variant 2) - name,bottom,?,,,,,,,,,,,,,,,,,
stories grid,stories card (single card),card (variant 2) - read more icon,bottom,?,,,,,,,,,,,,,,,,,
stories grid,stories card (single card),card (variant 2) - read more icon,right,?,,,,,,,,,,,,,,,,,
stories grid,stories card,card (variant 3) - title,bottom,Padding E,,,,,,,,,,,,,,,,,
stories grid,stories card,card (variant 3) - title,left,Padding E,,,,,,,,,,,,,,,,,
stories grid,stories card,card (variant 3) - title,right,Padding E,,,,,,,,,,,,,,,,,
stories grid,stories card,card (variant 3) - description box,top,Padding E,,,,,,,,,,,,,,,,,
stories grid,stories card,card (variant 3) - description box,bottom,Padding E,,,,,,,,,,,,,,,,,
stories grid,stories card,card (variant 3) - description box,left,Padding E,,,,,,,,,,,,,,,,,
stories grid,stories card,card (variant 3) - description box,right,Padding E,,,,,,,,,,,,,,,,,
stories grid,stories card (single card),card (variant 3) - text box,top,?,,,,,,,,,,,,,,,,,
stories grid,stories card (single card),card (variant 3) - text box,bottom,?,,,,,,,,,,,,,,,,,
stories grid,stories card (single card),card (variant 3) - text box,left,?,,,,,,,,,,,,,,,,,
stories grid,stories card (single card),card (variant 3) - text box,right,?,,,,,,,,,,,,,,,,,
stories grid,stories card (single card),card (variant 3) - name,bottom,?,,,,,,,,,,,,,,,,,
stories grid,stories card (single card),card (variant 3) - read more icon,bottom,?,,,,,,,,,,,,,,,,,
stories grid,stories card (single card),card (variant 3) - read more icon,right,?,,,,,,,,,,,,,,,,,